country,total_cases,confirmed,new_cases,deaths,new_deaths,recovered,active,active_cases,critical,total_tests,total_tests_per_million,total_cases_per_million,total_deaths_per_million,population
Lesotho,12398,12398,0,339,0,6601,5458,5458,0,125501,0,5740,157,2159976
Hong Kong,11959,11959,0,212,0,11682,65,65,1,20432586,0,1582,28,7560468
Djibouti,11627,11627,0,155,0,11461,11,11,0,185431,0,11593,155,1002975
Aruba,11235,11235,0,108,0,11046,81,81,14,177885,0,104765,1007,107240
South Sudan,10917,10917,0,117,0,10514,286,286,0,174045,0,963,10,11330598
Timor-Leste,10128,10128,0,26,0,9320,782,782,0,95046,0,7532,19,1344588
Equatorial Guinea,8828,8828,0,123,0,8591,114,114,1,149330,0,6085,85,1450801
Nicaragua,8767,8767,0,193,0,4225,4349,4349,0,0,0,1307,29,6706752
Benin,8244,8244,0,107,0,8081,56,56,5,604310,0,662,9,12453181
CAR,7142,7142,0,98,0,6859,185,185,2,54814,0,1452,20,4917227
Yemen,6981,6981,0,1368,0,4159,1454,1454,23,131795,0,229,45,30509331
Gambia,6920,6920,0,190,0,6015,715,715,3,90555,0,2782,76,2487187
Iceland,6718,6718,0,30,0,6628,60,60,1,803998,0,19554,87,343555
Channel Islands,6606,6606,0,86,0,4448,2072,2072,0,658533,0,37634,490,175535
Eritrea,6402,6402,0,30,0,6043,329,329,0,23693,0,1780,8,3597587
Sierra Leone,6186,6186,0,115,0,4129,1942,1942,0,160358,0,759,14,8145812
Burundi,5802,5802,0,8,0,773,5021,5021,0,345742,0,473,0.7,12258459
Niger,5587,5587,0,194,0,5277,116,116,2,125624,0,222,8,25114853
Saint Lucia,5480,5480,0,87,0,5269,124,124,0,57470,0,29701,472,184504
Liberia,5396,5396,0,148,0,2715,2533,2533,2,128246,0,1041,29,5181299
San Marino,5094,5094,0,90,0,5002,2,2,0,69114,0,149797,2647,34006
Chad,4964,4964,0,174,0,4777,13,13,0,129094,0,293,10,16915352
Gibraltar,4595,4595,0,94,0,4286,215,215,2,295304,0,136431,2791,33680
Barbados,4258,4258,0,48,0,4058,152,152,0,201418,0,14798,167,287743
Guinea-Bissau,4052,4052,0,73,0,3706,273,273,4,77513,0,2010,36,2016369
Comoros,4011,4011,0,147,0,3837,27,27,0,0,0,4512,165,888875
Laos,3426,3426,0,5,0,2174,1247,1247,0,305013,0,464,0.7,7385597
Liechtenstein,3061,3061,0,59,0,2989,13,13,2,49126,0,80043,1543,38242
New Zealand,2817,2817,3,26,0,2744,47,47,0,2401725,0,563,5,5002100
Monaco,2682,2682,0,33,0,2570,79,79,5,54960,0,67844,835,39532
Sint Maarten,2664,2664,0,34,0,2601,29,29,2,35043,0,61405,784,43384
Bermuda,2530,2530,0,33,0,2482,15,15,7,354233,0,40782,532,62037
Turks and Caicos,2453,2453,0,18,0,2400,35,35,0,94789,0,62476,458,39263
